Assessment Instrument,Assessment Instrument Version,Item ID,Question Text,Section Name,Skip Pattern Trigger,Lookback Period,Item Uses,Item Subsets,Assessment Response Codes,Response Text,Copyright Indicator
OASIS,D1-012020,GG0130A4,"""Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once a mean is placed before the {patient/resident}. - Follow-up Performance""","""Section GG: Functional Abilities and Goals""",N,0,,04|05,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130B1,"""Oral hygiene: The ability to use suitable items to clean teeth. Dentures (if applicable): The ability to insert and remove dentures into and from the mouth, and manage denture soaking and rinsing with use of equipment. - Admission Performance""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130B2,"""Oral hygiene: The ability to use suitable items to clean teeth. Dentures (if applicable): The ability to insert and remove dentures into and from the mouth, and manage denture soaking and rinsing with use of equipment. - Discharge Goal""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130B3,"""Oral hygiene: The ability to use suitable items to clean teeth. Dentures (if applicable): The ability to insert and remove dentures into and from the mouth, and manage denture soaking and rinsing with use of equipment. - Discharge Performance""","""Section GG: Functional Abilities and Goals""",N,0,,9,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130B4,"""Oral Hygiene: The ability to use suitable items to clean teeth. Dentures (if applicable): The ability to insert and remove dentures into and from the mouth, and manage denture soaking and rinsing with use of equipment. - Follow-up Performance""","""Section GG: Functional Abilities and Goals""",N,0,,04|05,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130C1,"""Toileting hygiene: The ability to maintain perineal hygiene, adjust clothes before and after voiding or having a bowel movement. If managing an ostomy, include wiping the opening but not managing equipment. - Admission Performance""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130C2,"""Toileting hygiene: The ability to maintain perineal hygiene, adjust clothes before and after voiding or having a bowel movement. If managing an ostomy, include wiping the opening but not managing equipment. - Discharge Goal""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130C3,"""Toileting hygiene: The ability to maintain perineal hygiene, adjust clothes before and after voiding or having a bowel movement. If managing an ostomy, include wiping the opening but not managing equipment. - Discharge Performance""","""Section GG: Functional Abilities and Goals""",N,0,,9,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130C4,"""Toileting Hygiene: The ability to maintain perineal hygiene, adjust clothes before and after voiding or having a bowel movement. If managing an ostomy, include wiping the opening but not managing equipment. - Follow-up Performance""","""Section GG: Functional Abilities and Goals""",N,0,,04|05,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130E1,"""Shower/bathe self: The ability to bathe self, including washing, rinsing, and drying self (excludes washing of back and hair). Does not include transferring in/out of tub/shower. - Admission Performance""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130E2,"""Shower/bathe self: The ability to bathe self, including washing, rinsing, and drying self (excludes washing of back and hair). Does not include transferring in/out of tub/shower. - Discharge Goal""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130E3,"""Shower/bathe self: The ability to bathe self, including washing, rinsing, and drying self (excludes washing of back and hair). Does not include transferring in/out of tub/shower. - Discharge Performance""","""Section GG: Functional Abilities and Goals""",N,0,,9,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130F1,"""Upper body dressing: The ability to dress and undress above the waist; including fasteners, if applicable. - Admission Performance""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130F2,"""Upper body dressing: The ability to dress and undress above the waist; including fasteners, if applicable. - Discharge Goal""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130F3,"""Upper body dressing: The ability to dress and undress above the waist; including fasteners, if applicable. - Discharge Performance""","""Section GG: Functional Abilities and Goals""",N,0,,9,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130G1,"""Lower body dressing: The ability to dress and undress below the waist, including fasteners; does not include footwear. - Admission Performance""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
